Line 1 -- 	Value: 'module' Type: 'MODULE'
Line 70 -- 	Value: ',' Type: 'COMMA'
Line 70 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 70 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 70 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 70 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 70 -- 	Value: ',' Type: 'COMMA'
Line 70 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 70 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 70 -- 	Value: ';' Type: 'SEMICOLON'
Line 71 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 71 -- 	Value: '.' Type: 'PERIOD'
Line 71 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 71 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 71 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 71 -- 	Value: ';' Type: 'SEMICOLON'
Line 72 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 73 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 73 -- 	Value: '.' Type: 'PERIOD'
Line 73 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 73 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 73 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 73 -- 	Value: '.' Type: 'PERIOD'
Line 73 -- 	Value: 'value' Type: 'IDENTIFIER'
Line 73 -- 	Value: ',' Type: 'COMMA'
Line 73 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 73 -- 	Value: ',' Type: 'COMMA'
Line 73 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 73 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 73 -- 	Value: ';' Type: 'SEMICOLON'
Line 74 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 74 -- 	Value: ';' Type: 'SEMICOLON'
Line 75 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 78 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 78 -- 	Value: '=' Type: 'IDENTIFIER'
Line 78 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 78 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 78 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 78 -- 	Value: '.' Type: 'PERIOD'
Line 78 -- 	Value: 'str_view' Type: 'IDENTIFIER'
Line 78 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 78 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 78 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 78 -- 	Value: ';' Type: 'SEMICOLON'
Line 79 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 79 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 79 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 79 -- 	Value: '==' Type: 'IDENTIFIER'
Line 79 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 79 -- 	Value: '.' Type: 'PERIOD'
Line 79 -- 	Value: 'COMMENT' Type: 'IDENTIFIER'
Line 79 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 79 -- 	Value: '{' Type: 'OPEN_BODY'
Line 80 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 80 -- 	Value: '.' Type: 'PERIOD'
Line 80 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 80 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 80 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 80 -- 	Value: ';' Type: 'SEMICOLON'
Line 81 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 81 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 81 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 81 -- 	Value: '<' Type: 'IDENTIFIER'
Line 81 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 81 -- 	Value: '.' Type: 'PERIOD'
Line 81 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 81 -- 	Value: '&&' Type: 'IDENTIFIER'
Line 81 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 81 -- 	Value: '!' Type: 'OPTIONAL'
Line 81 -- 	Value: '=' Type: 'IDENTIFIER'
Line 81 -- 	Value: '\n' Type: 'STRING_LIT'
Line 81 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 81 -- 	Value: '{' Type: 'OPEN_BODY'
Line 82 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 82 -- 	Value: '.' Type: 'PERIOD'
Line 82 -- 	Value: 'append' Type: 'IDENTIFIER'
Line 82 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 82 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 82 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 82 -- 	Value: ';' Type: 'SEMICOLON'
Line 83 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 83 -- 	Value: '=' Type: 'IDENTIFIER'
Line 83 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 83 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 83 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 83 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 83 -- 	Value: ';' Type: 'SEMICOLON'
Line 84 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 85 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 85 -- 	Value: ';' Type: 'SEMICOLON'
Line 86 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 86 -- 	Value: '.' Type: 'PERIOD'
Line 86 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 86 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 86 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 86 -- 	Value: '.' Type: 'PERIOD'
Line 86 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 86 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 86 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 86 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 86 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 86 -- 	Value: '.' Type: 'PERIOD'
Line 86 -- 	Value: '^' Type: 'IDENTIFIER'
Line 86 -- 	Value: '1' Type: 'NUMBER_LIT'
Line 86 -- 	Value: ',' Type: 'COMMA'
Line 86 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 86 -- 	Value: '.' Type: 'PERIOD'
Line 86 -- 	Value: 'COMMENT' Type: 'IDENTIFIER'
Line 86 -- 	Value: ',' Type: 'COMMA'
Line 86 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 86 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 86 -- 	Value: ';' Type: 'SEMICOLON'
Line 87 -- 	Value: 'lineCount++' Type: 'IDENTIFIER'
Line 87 -- 	Value: ';' Type: 'SEMICOLON'
Line 88 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 88 -- 	Value: '.' Type: 'PERIOD'
Line 88 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 88 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 88 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 88 -- 	Value: ';' Type: 'SEMICOLON'
Line 89 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 89 -- 	Value: ';' Type: 'SEMICOLON'
Line 90 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 92 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 92 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 92 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 92 -- 	Value: '==' Type: 'IDENTIFIER'
Line 92 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 92 -- 	Value: '.' Type: 'PERIOD'
Line 92 -- 	Value: 'MULTI_COMMENT_START' Type: 'IDENTIFIER'
Line 92 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 92 -- 	Value: '{' Type: 'OPEN_BODY'
Line 93 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 93 -- 	Value: '.' Type: 'PERIOD'
Line 93 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 93 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 93 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 93 -- 	Value: ';' Type: 'SEMICOLON'
Line 94 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 94 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 94 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 94 -- 	Value: '<' Type: 'IDENTIFIER'
Line 94 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 94 -- 	Value: '.' Type: 'PERIOD'
Line 94 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 94 -- 	Value: '&&' Type: 'IDENTIFIER'
Line 94 -- 	Value: '!' Type: 'OPTIONAL'
Line 94 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 94 -- 	Value: '.' Type: 'PERIOD'
Line 94 -- 	Value: 'str_view' Type: 'IDENTIFIER'
Line 94 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 94 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 94 -- 	Value: '.' Type: 'PERIOD'
Line 94 -- 	Value: 'contains' Type: 'IDENTIFIER'
Line 94 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 94 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 94 -- 	Value: '.' Type: 'PERIOD'
Line 94 -- 	Value: 'MULTI_COMMENT_END' Type: 'IDENTIFIER'
Line 94 -- 	Value: '.' Type: 'PERIOD'
Line 94 -- 	Value: 'value' Type: 'IDENTIFIER'
Line 94 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 94 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 94 -- 	Value: '{' Type: 'OPEN_BODY'
Line 95 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 95 -- 	Value: '.' Type: 'PERIOD'
Line 95 -- 	Value: 'append' Type: 'IDENTIFIER'
Line 95 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 95 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 95 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 95 -- 	Value: ';' Type: 'SEMICOLON'
Line 96 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 96 -- 	Value: '=' Type: 'IDENTIFIER'
Line 96 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 96 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 96 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 96 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 96 -- 	Value: ';' Type: 'SEMICOLON'
Line 97 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 97 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 97 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 97 -- 	Value: '<' Type: 'IDENTIFIER'
Line 97 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 97 -- 	Value: '.' Type: 'PERIOD'
Line 97 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 97 -- 	Value: '&&' Type: 'IDENTIFIER'
Line 97 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 97 -- 	Value: '==' Type: 'IDENTIFIER'
Line 97 -- 	Value: '\n' Type: 'STRING_LIT'
Line 97 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 97 -- 	Value: '{' Type: 'OPEN_BODY'
Line 98 -- 	Value: 'lineCount++' Type: 'IDENTIFIER'
Line 98 -- 	Value: ';' Type: 'SEMICOLON'
Line 99 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 99 -- 	Value: '=' Type: 'IDENTIFIER'
Line 99 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 99 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 99 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 99 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 99 -- 	Value: ';' Type: 'SEMICOLON'
Line 100 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 101 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 102 -- 	Value: 'assert' Type: 'IDENTIFIER'
Line 102 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 102 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 102 -- 	Value: '.' Type: 'PERIOD'
Line 102 -- 	Value: 'str_view' Type: 'IDENTIFIER'
Line 102 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 102 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 102 -- 	Value: '.' Type: 'PERIOD'
Line 102 -- 	Value: 'contains' Type: 'IDENTIFIER'
Line 102 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 102 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 102 -- 	Value: '.' Type: 'PERIOD'
Line 102 -- 	Value: 'MULTI_COMMENT_END' Type: 'IDENTIFIER'
Line 102 -- 	Value: '.' Type: 'PERIOD'
Line 102 -- 	Value: 'value' Type: 'IDENTIFIER'
Line 102 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 102 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 102 -- 	Value: ';' Type: 'SEMICOLON'
Line 103 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 103 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 103 -- 	Value: '=' Type: 'IDENTIFIER'
Line 103 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 103 -- 	Value: '.' Type: 'PERIOD'
Line 103 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 103 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 103 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 103 -- 	Value: ';' Type: 'SEMICOLON'
Line 104 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 104 -- 	Value: '.' Type: 'PERIOD'
Line 104 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 104 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 104 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 104 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 104 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 104 -- 	Value: '.' Type: 'PERIOD'
Line 104 -- 	Value: '^' Type: 'IDENTIFIER'
Line 104 -- 	Value: '2' Type: 'NUMBER_LIT'
Line 104 -- 	Value: ',' Type: 'COMMA'
Line 104 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 104 -- 	Value: '.' Type: 'PERIOD'
Line 104 -- 	Value: 'COMMENT' Type: 'IDENTIFIER'
Line 104 -- 	Value: ',' Type: 'COMMA'
Line 104 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 104 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 104 -- 	Value: ';' Type: 'SEMICOLON'
Line 105 -- 	Value: 'lineCount++' Type: 'IDENTIFIER'
Line 105 -- 	Value: ';' Type: 'SEMICOLON'
Line 106 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 106 -- 	Value: '.' Type: 'PERIOD'
Line 106 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 106 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 106 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 106 -- 	Value: ';' Type: 'SEMICOLON'
Line 107 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 107 -- 	Value: ';' Type: 'SEMICOLON'
Line 108 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 110 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 110 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 110 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 110 -- 	Value: '==' Type: 'IDENTIFIER'
Line 110 -- 	Value: ' ' Type: 'STRING_LIT'
Line 110 -- 	Value: '||' Type: 'IDENTIFIER'
Line 110 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 110 -- 	Value: '==' Type: 'IDENTIFIER'
Line 110 -- 	Value: '\r' Type: 'STRING_LIT'
Line 110 -- 	Value: '||' Type: 'IDENTIFIER'
Line 110 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 110 -- 	Value: '==' Type: 'IDENTIFIER'
Line 110 -- 	Value: '\t' Type: 'STRING_LIT'
Line 110 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 110 -- 	Value: '{' Type: 'OPEN_BODY'
Line 111 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 111 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 111 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 111 -- 	Value: '.' Type: 'PERIOD'
Line 111 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 111 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 111 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 111 -- 	Value: '>' Type: 'IDENTIFIER'
Line 111 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 111 -- 	Value: '{' Type: 'OPEN_BODY'
Line 112 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 112 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 112 -- 	Value: '=' Type: 'IDENTIFIER'
Line 112 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 112 -- 	Value: '.' Type: 'PERIOD'
Line 112 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 112 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 112 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 112 -- 	Value: ';' Type: 'SEMICOLON'
Line 113 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 113 -- 	Value: '.' Type: 'PERIOD'
Line 113 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 113 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 113 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 113 -- 	Value: ',' Type: 'COMMA'
Line 113 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 113 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 113 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 113 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 113 -- 	Value: ',' Type: 'COMMA'
Line 113 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 113 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 113 -- 	Value: ';' Type: 'SEMICOLON'
Line 114 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 114 -- 	Value: '.' Type: 'PERIOD'
Line 114 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 114 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 114 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 114 -- 	Value: ';' Type: 'SEMICOLON'
Line 115 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 116 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 116 -- 	Value: ';' Type: 'SEMICOLON'
Line 117 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 118 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 118 -- 	Value: '.' Type: 'PERIOD'
Line 118 -- 	Value: 'append' Type: 'IDENTIFIER'
Line 118 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 118 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 118 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 118 -- 	Value: ';' Type: 'SEMICOLON'
Line 119 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 120 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 120 -- 	Value: '.' Type: 'PERIOD'
Line 120 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 120 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 120 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 120 -- 	Value: '.' Type: 'PERIOD'
Line 120 -- 	Value: 'EOF' Type: 'EOF'
Line 120 -- 	Value: '.' Type: 'PERIOD'
Line 120 -- 	Value: 'value' Type: 'IDENTIFIER'
Line 120 -- 	Value: ',' Type: 'COMMA'
Line 120 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 120 -- 	Value: '.' Type: 'PERIOD'
Line 120 -- 	Value: 'EOF' Type: 'EOF'
Line 120 -- 	Value: ',' Type: 'COMMA'
Line 120 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 120 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 120 -- 	Value: ';' Type: 'SEMICOLON'
Line 121 -- 	Value: ' io::printn(dstring.str_view());' Type: 'COMMENT'
Line 122 -- 	Value: 'io' Type: 'IDENTIFIER'
Line 122 -- 	Value: ':' Type: 'COLON'
Line 122 -- 	Value: ':' Type: 'COLON'
Line 122 -- 	Value: 'printfn' Type: 'IDENTIFIER'
Line 122 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 122 -- 	Value: 'Token Count: %d' Type: 'STRING_LIT'
Line 122 -- 	Value: ',' Type: 'COMMA'
Line 122 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 122 -- 	Value: '.' Type: 'PERIOD'
Line 122 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 122 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 122 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 122 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 122 -- 	Value: ';' Type: 'SEMICOLON'
Line 123 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 123 -- 	Value: '.' Type: 'PERIOD'
Line 123 -- 	Value: 'dump_tokens' Type: 'IDENTIFIER'
Line 123 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 123 -- 	Value: 'tokens.txt' Type: 'STRING_LIT'
Line 123 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 123 -- 	Value: ';' Type: 'SEMICOLON'
Line 124 -- 	Value: 'return' Type: 'IDENTIFIER'
Line 124 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 125 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 125 -- 	Value: 'EOF' Type: 'EOF'
